letter_number,entity_name,entity_type
111,Laurens C.H.,PERSON
111,Liz,PERSON
111,Joseph Rogers,PERSON
111,Anderson C.H.,PERSON
111,Anderson,PERSON
111,Box,PERSON
111,Pendleton,LOCATION
111,Saluda,PERSON
111,John C.  Norriss&,PERSON
111,Orr,PERSON
111,Anderson,PERSON
111,Browns,PERSON
111,Broyles,PERSON
111,Orr,PERSON
111,Taylor,PERSON
111,James,PERSON
111,Bridge,PERSON
111,Laurens,PERSON
111,Maddox,PERSON
111,Hurrah,PERSON
111,Greenville,LOCATION
111,Orr,PERSON
111,Taylor,PERSON
111,Taylor,PERSON
111,Ennoree,LOCATION
111,Laurens,PERSON
111,Liz,PERSON
111,Kiss,PERSON
111,B.F. Perry,PERSON
111,Elizabeth Perry,PERSON
Greenville,PERSON
677,Camp,LOCATION
677,Charleston,LOCATION
677,Stokes,LOCATION
677,Georgetown,LOCATION
677,Charley Lanneau,PERSON
677,Muskito,LOCATION
677,Charleston,LOCATION
677,Virginia,LOCATION
677,Georgia,LOCATION
677,Ma,PERSON
677,Charlie,PERSON
677,Williams,PERSON
677,John Greens,PERSON
677,Wiley,PERSON
677,Virginia,LOCATION
677,W.H. Perry,PERSON
677,Benjamin Perry,PERSON
Greenville,PERSON
94,Liz,PERSON
94,Richardson,PERSON
94,Greenville,LOCATION
94,Richardson,PERSON
94,Tell Jim,PERSON
94,Elford,PERSON
94,Pamela,PERSON
94,Willie,PERSON
94,Frank,PERSON
94,Henry,PERSON
94,Willie,PERSON
94,B.F. Perry,PERSON
80,Pickens C.H.,PERSON
80,Liz,PERSON
80,Orr,PERSON
80,Box,PERSON
80,Pumpkin,LOCATION
80,W. Lee,PERSON
80,Dunlap,PERSON
80,Clark,PERSON
80,Josiah,PERSON
80,Josiah,PERSON
80,Tompson,PERSON
80,Keiths,PERSON
80,William,PERSON
80,Kiss,PERSON
80,Will,PERSON
80,B.F. Perry,PERSON
80,Elizabeth Perry,PERSON
Greenville,PERSON
663,Martinsburg,LOCATION
663,Va.,LOCATION
663,Lee,PERSON
663,Virginia,LOCATION
663,Charleston,LOCATION
663,Wiley,PERSON
663,Stuart,PERSON
663,W.H. Perry,PERSON
663,Benjamin Perry,PERSON
Greenville,PERSON
105,Liz,PERSON
105,Keith,PERSON
105,Henderson,PERSON
105,Laurens,PERSON
105,Laurens,PERSON
105,Cunninghams,PERSON
105,Miss Earle,PERSON
105,William Mills,PERSON
105,Earle,PERSON
105,Earles,PERSON
105,Rodgers,PERSON
105,B.F. Perry,PERSON
105,Elizabeth Perry,PERSON
Greenville,PERSON
139,Liz,PERSON
139,Willie,PERSON
139,Laurens,PERSON
139,Col Irby,PERSON
139,Smith,PERSON
139,Mitchell,PERSON
139,John Preston,PERSON
139,Whitner,PERSON
139,Martin,PERSON
139,Isaac Hayne,PERSON
139,Tandy Walker,PERSON
139,Laurens,PERSON
139,Willie,PERSON
139,Willie,PERSON
139,B.F. Perry,PERSON
139,P.S.,LOCATION
139,Stuart,PERSON
139,Smith,PERSON
139,Elizabeth Perry,PERSON
Greenville,PERSON
57,Pickens,PERSON
57,Liz,PERSON
57,Elford,PERSON
57,Pendleton,LOCATION
57,Josiah,PERSON
57,Foster,PERSON
57,Sharpe,PERSON
57,Sharpe,PERSON
57,Thompson,PERSON
