year_range,entity,entity_type
thru1846,Adams,Person
thru1846,Aiken,Person
thru1846,Albert Rhett,Person
thru1846,Alexander Dromgoole] Sims of Darlington,Person
thru1846,Alleier Barrett,Person
thru1846,Alston Hayne,Person
thru1846,Anderson,Person
thru1846,Anderson C.H.,Person
thru1846,Andrew P.] Butler,Person
thru1846,Andrew Pickens] Butler,Person
thru1846,Ann,Person
thru1846,Anna,Person
thru1846,Anne,Person
thru1846,Arnold,Person
thru1846,Ashe,Person
thru1846,B.,Person
thru1846,B. Carrol,Person
thru1846,B. F. Perry,Person
thru1846,Greenville,Person
thru1846,B.F. Perry,Person
thru1846,B.F. Perry,Person
thru1846,B.F. Perry,Person
thru1846,B.F. Perry,Person
thru1846,Greenille,Person
thru1846,Ball,Person
thru1846,Barnes,Person
thru1846,Barnwell,Person
thru1846,Barnwell Rhett,Person
thru1846,Barrow,Person
thru1846,Barton,Person
thru1846,Bee,Person
thru1846,Ben,Person
thru1846,Ben Yancey,Person
thru1846,Ben Yanceys,Person
thru1846,Benedict,Person
thru1846,Benjamin Faneuil,Person
thru1846,Benjamin Franklin Perry,Person
thru1846,Benson,Person
thru1846,Benton,Person
thru1846,Berry,Person
thru1846,Bevil Faulcon,Person
thru1846,Bill,Person
thru1846,Blanding,Person
thru1846,Bob,Person
thru1846,Bob Spurgeon,Person
thru1846,Bonham,Person
thru1846,Bowen,Person
thru1846,Box,Person
thru1846,Boyce,Person
thru1846,Bryce,Person
thru1846,Bull,Person
thru1846,Bundle,Person
thru1846,Burt,Person
thru1846,Burts,Person
thru1846,Butler,Person
thru1846,Butler Thompson,Person
thru1846,Caldwell,Person
thru1846,Calhoun,Person
thru1846,Calhouns,Person
thru1846,Canty,Person
thru1846,Carter,Person
thru1846,Carter & Allen,Person
thru1846,Carters Book,Person
thru1846,Charles,Person
thru1846,Charles Sullivan,Person
thru1846,Chester,Person
thru1846,Chick,Person
thru1846,Christopher G.] Memminger,Person
thru1846,Clark Mills,Person
thru1846,Cleveland,Person
thru1846,Coleman,Person
thru1846,Conbreliry,Person
thru1846,Cooper,Person
thru1846,Cornelia Crittenden,Person
thru1846,Cox,Person
thru1846,Crawfords,Person
thru1846,Cripps,Person
thru1846,Crittenden,Person
thru1846,Cronston,Person
thru1846,Crook,Person
thru1846,Crooks,Person
thru1846,Cunningham,Person
thru1846,Cunninghams,Person
thru1846,Daniel Elliott] Huger,Person
thru1846,Daniel Elliott] Huger & Barnwell Rhett & Col,Person
thru1846,David J. McCords,Person
thru1846,David Johnson,Person
thru1846,Davis,Person
thru1846,Dawkins,Person
thru1846,Day,Person
thru1846,DeSaussure,Person
thru1846,DeTreville,Person
thru1846,Dean,Person
thru1846,Duncan,Person
thru1846,Dunkin,Person
thru1846,E.D. Earle,Person
thru1846,Earle,Person
thru1846,Edmond Hayne,Person
thru1846,Edward,Person
thru1846,Edward Rhett,Person
thru1846,Edward] Frost,Person
thru1846,Edwards,Person
thru1846,Elford,Person
thru1846,Elias,Person
thru1846,Elias Earle,Person
thru1846,Elizabeth McCall,Person
thru1846,Elizabeth Perry,Person
thru1846,Elizabeth Perry,Person
thru1846,Greenville,Person
thru1846,Elizabeth Perry,Person
thru1846,Greenville,Person
thru1846,Elizabeth Town,Person
thru1846,Ellet,Person
thru1846,Elmore,Person
thru1846,Episcopal,Person
thru1846,Evans,Person
thru1846,F. Wardlaw,Person
thru1846,Farms,Person
thru1846,Fields,Person
thru1846,Foster,Person
thru1846,Frances Hayne,Person
thru1846,Francis W.] Pickens,Person
thru1846,Francis Wilkinson] Pickens,Person
thru1846,Frank,Person
thru1846,Frank Burt,Person
thru1846,Franklin Harper] Elmore,Person
thru1846,Frank�s sweet voice,Person
thru1846,Frederick Rutledge,Person
thru1846,Frederick William] Davie & Reed,Person
