Name,Small Model,Medium Model,Large Model
&,X,,X
& Anderson,,,X
& Anna,,,X
& Annas,X,,
& Betty Robinson,,,X
& Col,X,,
& Crayton,,,X
& Elford,,,X
& Franks,X,,
& Hammond,X,,
& Harriett,X,X,X
& Hayne,,,X
& Hext,,,X
& Janney,,,X
& Revd,,,X
& Siegling,,,X
& Sullivan,,,X
& Tulula,,,X
& Warren,X,,X
& Willie,,,X
& Willie Long,,,X
&c.,X,X,
138,X,,
2 Fergusons,,X,
7abroad,,X,
A. Allston,X,X,X
A. Burt,X,X,
A. Burt &,,,X
A.P. Hayne,X,X,X
A.W. Hanger,X,,X
A.],,X,
A[rthur,,X,
A[rthur] Hayne,X,,
Abbot,,X,X
Abbott,X,,X
Absalom Blythe,X,X,X
Academical,,,X
Academies,,X,
Ackers,,,X
Adair,,X,
Adam,X,X,X
Adam Jones,X,X,X
Adams,X,X,X
Adams &,,,X
Adams & Emma Waters,,X,
Adams Run,X,X,X
Adams with Coil,,X,
"Adams, Col",,,X
Adieu,X,X,
Adley Hogan,,X,
Adley Hogan],X,,X
After,,X,
Aiken,X,X,X
Aikens,,X,X
Aikens Reg,X,X,X
Akins,X,X,X
Al,X,X,X
Al[l]ston,X,X,X
Al]l]ston,X,X,X
Albert Micajah,X,X,X
Albert Micajah] Ship[p]s,,,X
Albert Rhett,X,X,X
Albert Rhetts,X,X,X
Aldrich,X,X,X
Aldridge,X,X,X
Aleck,X,X,X
Alex McBee,X,X,X
Alex Robertson,X,X,X
Alex Taylor,X,X,X
Alexander,X,X,X
Alexander Beaufort,,X,X
Alexander Dromgoole] Sims of Darlington,X,,X
Alexander McBee,X,X,X
Alexander Taylor,X,X,X
Alexander Taylor &,,,X
Alexander] Barrow,,,X
Alexander] Evins,X,,X
Alexander] McBee,,,X
Alexandria,X,X,
Alfred,X,X,X
Alfred Huger,X,X,X
Alfreds,,,X
Alice Roberts,X,X,X
Allan,X,,X
Allard Belin,,X,
Allard Belin] Flagg,X,,X
Alleier Barrett,X,X,
Allen,X,X,X
Allen Merrits,X,X,X
Allen] McFarlan[d] &,,,X
Allens,X,X,X
Allston,X,X,X
