letter_number,entity_name,entity_type
1,Charleston,LOCATION
1,Calico,LOCATION
1,Lamps,PERSON
1,Shopping,PERSON
1,Susan & Ann,PERSON
1,"Benjamin Perry
Columbia",PERSON
10,Greenville,LOCATION
10,Rhett,PERSON
10,Adams,PERSON
10,Rhett,PERSON
10,Van Buren,PERSON
10,Wardlaw,PERSON
10,Rhett,PERSON
10,Greenville,PERSON
10,Earle,PERSON
10,Wardlaw,PERSON
10,Burt,LOCATION
10,Rhett,PERSON
10,Earle,PERSON
10,Simth,PERSON
10,Crook,PERSON
10,Governors,PERSON
10,Crook,PERSON
10,Wiliam Hutson,PERSON
10,Thomas Fuller,PERSON
10,New Haven,LOCATION
10,Albert Rhett,PERSON
10,New Haven,LOCATION
10,Mamma,PERSON
10,New Haven,LOCATION
10,Crook,PERSON
10,Albert Rhett,PERSON
10,William Hayne McCall,PERSON
10,Mamma,PERSON
10,Rhett,PERSON
10,Victoria,LOCATION
10,John,PERSON
10,McBee,PERSON
10,Crook,PERSON
10,John,PERSON
10,Perry,PERSON
10,James,PERSON
10,James,PERSON
10,John,PERSON
10,Crook,PERSON
10,Susan & Ann,PERSON
10,Nicholas Nickleby,PERSON
10,Law,PERSON
10,Gaillard,PERSON
10,Charleston,LOCATION
10,Columbia,LOCATION
10,Sarah Taylor,PERSON
10,Columbia,LOCATION
10,Aunt Brewton,PERSON
10,E.F. Perry,PERSON
10,"Benjamin Perry
Columbia",PERSON
100,Greenville,LOCATION
100,Laurens,PERSON
100,Laurens,PERSON
100,Butler,PERSON
100,Mamma,PERSON
100,Sharpe,PERSON
100,Pendleton,LOCATION
100,Sam Townes,PERSON
100,Townes,PERSON
100,Orr,PERSON
100,Jones,PERSON
100,Norton,PERSON
100,Laurens,PERSON
100,Greenville,LOCATION
100,Sam Townes,PERSON
100,Jim,PERSON
100,Mamma,PERSON
100,Mamma,PERSON
100,Said,PERSON
100,Burt,PERSON
100,Mamma,PERSON
100,Minerva,PERSON
100,Earle,PERSON
100,Delia,LOCATION
100,John,PERSON
100,Susan,PERSON
100,Dupree,PERSON
100,Caroline Earle,PERSON
100,Mamma,PERSON
