document_id,entity_text,entity_type,context
0,Thursday,DATE,"Letter 1


Thursday night, 30 November [1837]
Charleston

My dear hus"
0,night,TIME,"Letter 1


Thursday night, 30 November [1837]
Charleston

My dear husband

"
0,30 November,DATE,"Letter 1


Thursday night, 30 November [1837]
Charleston

My dear husband

	I have just "
0,1837,DATE,"Letter 1


Thursday night, 30 November [1837]
Charleston

My dear husband

	I have just finish"
0,Charleston,GPE,"Letter 1


Thursday night, 30 November [1837]
Charleston

My dear husband

	I have just finished drinking "
0,Mamma & the girls &,ORG,"
	I have just finished drinking my tea, have left Mamma & the girls & have come upstairs to write to you.  I would have"
0,yesterday,DATE,"e upstairs to write to you.  I would have written yesterday, but I had been shopping from after breakfast unt"
0,3,CARDINAL,ut I had been shopping from after breakfast until 3 oclock & was so much fatigued that in the afterno
0,Aunt Eliza & Aunt Hayne,ORG,"rnoon I was obliged to lie down, & in the evening Aunt Eliza & Aunt Hayne took tea with us.  I have been in King street all"
0,King,LOC,"za & Aunt Hayne took tea with us.  I have been in King street all of the morning, but as I rode I do not"
0,yesterday,DATE,", but as I rode I do not feel so much fatigued as yesterday.  I have bought a great many articles & priced al"
0,2,MONEY,s.  I have bought carpeting for the Drawing room $2. a yard & the dining room $1.40.  To make up I ha
0,1.40,MONEY,or the Drawing room $2. a yard & the dining room $1.40.  To make up I have gone without a chamber carpet
0,only 50,CARDINAL,"have got the Entry & staircase carpet very cheap, only 50 cts a yd, & beautiful; the oil cloth would have b"
0,cts,ORG," the Entry & staircase carpet very cheap, only 50 cts a yd, & beautiful; the oil cloth would have been "
0,40,MONEY,"ful; the oil cloth would have been for the Entry $40, for it is a dollar & a half by the square yd & t"
0,half,CARDINAL,"ve been for the Entry $40, for it is a dollar & a half by the square yd & the carpeting for the Entry ha"
0,the square yd &,ORG,"for the Entry $40, for it is a dollar & a half by the square yd & the carpeting for the Entry has cost only $17.50,"
0,only $17.50,MONEY," square yd & the carpeting for the Entry has cost only $17.50, & the staircase $12.50 cts.  For the entry & sta"
0,12.50,MONEY," the Entry has cost only $17.50, & the staircase $12.50 cts.  For the entry & staircase carpeting I have "
0,$30 &,MONEY, the entry & staircase carpeting I have given but $30 & the oil  cloth for the Entry only would have  bee
0,40.00,MONEY,e oil  cloth for the Entry only would have  been $40.00.  In addition to going without the chamber carpet
